# nspin         1
# kick mode    0
# kick strength    0.005000000000
# dim           3
# pol(1)           1.000000000000    0.000000000000    0.000000000000
# pol(2)           0.000000000000    1.000000000000    0.000000000000
# pol(3)           0.000000000000    0.000000000000    1.000000000000
# direction    1
# Equiv. axes  0
# wprime           0.000000000000    0.000000000000    1.000000000000
# kick time        0.000000000000
#%
# Number of time steps =    10000
# PropagationSpectrumDampMode   =    2
# PropagationSpectrumDampFactor =    -1.0000
# PropagationSpectrumStartTime  =     0.0000
# PropagationSpectrumEndTime    =   200.0000
# PropagationSpectrumMinEnergy  =     0.0000
# PropagationSpectrumMaxEnergy  =     0.7350
# PropagationSpectrumEnergyStep =     0.0004
#%
# Electronic sum rule       =         1.946003
# Static polarizability (from sum rule) =         6.942427 b
#%
#       Energy        sigma(1, nspin=1)   sigma(2, nspin=1)   sigma(3, nspin=1)   StrengthFunction(1)
#        [H]                [b^2]               [b^2]               [b^2]               [1/H]        
      0.20579622E-01      0.13934308E-04     -0.62062051E-08     -0.29930263E-02      0.96736490E-04
      0.20947115E-01      0.14510663E-04     -0.63066463E-08     -0.30447065E-02      0.10073773E-03
      0.21314609E-01      0.15090404E-04     -0.64035006E-08     -0.30947244E-02      0.10476249E-03
      0.21682102E-01      0.15672674E-04     -0.64967643E-08     -0.31430603E-02      0.10880479E-03
      0.22049595E-01      0.16256629E-04     -0.65864479E-08     -0.31896996E-02      0.11285880E-03
      0.22417088E-01      0.16841450E-04     -0.66725755E-08     -0.32346333E-02      0.11691882E-03
      0.22784582E-01      0.17426345E-04     -0.67551848E-08     -0.32778574E-02      0.12097935E-03
      0.23152075E-01      0.18010558E-04     -0.68343267E-08     -0.33193733E-02      0.12503515E-03
      0.23519568E-01      0.18593370E-04     -0.69100649E-08     -0.33591872E-02      0.12908122E-03
      0.23887062E-01      0.19174109E-04     -0.69824757E-08     -0.33973101E-02      0.13311290E-03
      0.24254555E-01      0.19752152E-04     -0.70516473E-08     -0.34337579E-02      0.13712586E-03
      0.24622048E-01      0.20326930E-04     -0.71176796E-08     -0.34685507E-02      0.14111615E-03
      0.24989541E-01      0.20897935E-04     -0.71806835E-08     -0.35017131E-02      0.14508025E-03
      0.25357035E-01      0.21464721E-04     -0.72407803E-08     -0.35332736E-02      0.14901506E-03
      0.25724528E-01      0.22026909E-04     -0.72981015E-08     -0.35632647E-02      0.15291796E-03
      0.26092021E-01      0.22584193E-04     -0.73527878E-08     -0.35917225E-02      0.15678680E-03
      0.26459514E-01      0.23136338E-04     -0.74049886E-08     -0.36186863E-02      0.16061997E-03
      0.26827008E-01      0.23683187E-04     -0.74548614E-08     -0.36441988E-02      0.16441638E-03
      0.27194501E-01      0.24224661E-04     -0.75025709E-08     -0.36683055E-02      0.16817546E-03
      0.27561994E-01      0.24760760E-04     -0.75482889E-08     -0.36910543E-02      0.17189724E-03
      0.27929487E-01      0.25291565E-04     -0.75921926E-08     -0.37124957E-02      0.17558226E-03
      0.28296981E-01      0.25817242E-04     -0.76344648E-08     -0.37326822E-02      0.17923168E-03
      0.28664474E-01      0.26338034E-04     -0.76752928E-08     -0.37516680E-02      0.18284719E-03
      0.29031967E-01      0.26854267E-04     -0.77148674E-08     -0.37695089E-02      0.18643105E-03
      0.29399460E-01      0.27366349E-04     -0.77533825E-08     -0.37862620E-02      0.18998608E-03
      0.29766954E-01      0.27874764E-04     -0.77910343E-08     -0.38019852E-02      0.19351567E-03
      0.30134447E-01      0.28380074E-04     -0.78280203E-08     -0.38167373E-02      0.19702369E-03
      0.30501940E-01      0.28882913E-04     -0.78645389E-08     -0.38305772E-02      0.20051457E-03
      0.30869433E-01      0.29383989E-04     -0.79007882E-08     -0.38435643E-02      0.20399320E-03
      0.31236927E-01      0.29884073E-04     -0.79369657E-08     -0.38557576E-02      0.20746494E-03
      0.31604420E-01      0.30384002E-04     -0.79732674E-08     -0.38672159E-02      0.21093561E-03
      0.31971913E-01      0.30884670E-04     -0.80098869E-08     -0.38779972E-02      0.21441141E-03
      0.32339406E-01      0.31387024E-04     -0.80470150E-08     -0.38881587E-02      0.21789892E-03
      0.32706900E-01      0.31892059E-04     -0.80848390E-08     -0.38977565E-02      0.22140503E-03
      0.33074393E-01      0.32400810E-04     -0.81235415E-08     -0.39068453E-02      0.22493695E-03
      0.33441886E-01      0.32914350E-04     -0.81633008E-08     -0.39154782E-02      0.22850211E-03
      0.33809379E-01      0.33433780E-04     -0.82042891E-08     -0.39237067E-02      0.23210816E-03
      0.34176873E-01      0.33960221E-04     -0.82466731E-08     -0.39315802E-02      0.23576289E-03
      0.34544366E-01      0.34494812E-04     -0.82906123E-08     -0.39391457E-02      0.23947419E-03
      0.34911859E-01      0.35038697E-04     -0.83362594E-08     -0.39464484E-02      0.24325001E-03
      0.35279352E-01      0.35593020E-04     -0.83837595E-08     -0.39535305E-02      0.24709830E-03
      0.35646846E-01      0.36158918E-04     -0.84332494E-08     -0.39604319E-02      0.25102695E-03
      0.36014339E-01      0.36737513E-04     -0.84848575E-08     -0.39671896E-02      0.25504375E-03
      0.36381832E-01      0.37329902E-04     -0.85387035E-08     -0.39738377E-02      0.25915631E-03
      0.36749325E-01      0.37937153E-04     -0.85948978E-08     -0.39804074E-02      0.26337204E-03
      0.37116819E-01      0.38560294E-04     -0.86535412E-08     -0.39869268E-02      0.26769809E-03
      0.37484312E-01      0.39200308E-04     -0.87147251E-08     -0.39934208E-02      0.27214127E-03
      0.37851805E-01      0.39858122E-04     -0.87785307E-08     -0.39999112E-02      0.27670803E-03
      0.38219298E-01      0.40534605E-04     -0.88450292E-08     -0.40064166E-02      0.28140440E-03
      0.38586792E-01      0.41230557E-04     -0.89142817E-08     -0.40129521E-02      0.28623592E-03
      0.38954285E-01      0.41946702E-04     -0.89863388E-08     -0.40195299E-02      0.29120763E-03
      0.39321778E-01      0.42683686E-04     -0.90612411E-08     -0.40261586E-02      0.29632402E-03
      0.39689271E-01      0.43442068E-04     -0.91390187E-08     -0.40328437E-02      0.30158895E-03
      0.40056765E-01      0.44222313E-04     -0.92196913E-08     -0.40395875E-02      0.30700566E-03
      0.40424258E-01      0.45024790E-04     -0.93032686E-08     -0.40463891E-02      0.31257672E-03
      0.40791751E-01      0.45849768E-04     -0.93897504E-08     -0.40532446E-02      0.31830398E-03
      0.41159244E-01      0.46697408E-04     -0.94791264E-08     -0.40601469E-02      0.32418857E-03
      0.41526738E-01      0.47567763E-04     -0.95713766E-08     -0.40670861E-02      0.33023086E-03
      0.41894231E-01      0.48460776E-04     -0.96664718E-08     -0.40740494E-02      0.33643045E-03
      0.42261724E-01      0.49376274E-04     -0.97643735E-08     -0.40810214E-02      0.34278613E-03
      0.42629217E-01      0.50313970E-04     -0.98650345E-08     -0.40879838E-02      0.34929592E-03
      0.42996711E-01      0.51273461E-04     -0.99683990E-08     -0.40949162E-02      0.35595702E-03
      0.43364204E-01      0.52254226E-04     -0.10074403E-07     -0.41017957E-02      0.36276581E-03
      0.43731697E-01      0.53255630E-04     -0.10182975E-07     -0.41085973E-02      0.36971789E-03
      0.44099190E-01      0.54276924E-04     -0.10294037E-07     -0.41152938E-02      0.37680804E-03
      0.44466684E-01      0.55317245E-04     -0.10407502E-07     -0.41218565E-02      0.38403029E-03
      0.44834177E-01      0.56375621E-04     -0.10523279E-07     -0.41282546E-02      0.39137787E-03
      0.45201670E-01      0.57450972E-04     -0.10641270E-07     -0.41344564E-02      0.39884331E-03
      0.45569163E-01      0.58542116E-04     -0.10761372E-07     -0.41404283E-02      0.40641839E-03
      0.45936657E-01      0.59647775E-04     -0.10883477E-07     -0.41461360E-02      0.41409423E-03
      0.46304150E-01      0.60766575E-04     -0.11007472E-07     -0.41515443E-02      0.42186130E-03
      0.46671643E-01      0.61897057E-04     -0.11133243E-07     -0.41566169E-02      0.42970948E-03
      0.47039137E-01      0.63037681E-04     -0.11260669E-07     -0.41613174E-02      0.43762806E-03
      0.47406630E-01      0.64186835E-04     -0.11389630E-07     -0.41656090E-02      0.44560586E-03
      0.47774123E-01      0.65342840E-04     -0.11520001E-07     -0.41694546E-02      0.45363122E-03
      0.48141616E-01      0.66503959E-04     -0.11651658E-07     -0.41728173E-02      0.46169208E-03
      0.48509110E-01      0.67668406E-04     -0.11784475E-07     -0.41756606E-02      0.46977605E-03
      0.48876603E-01      0.68834356E-04     -0.11918325E-07     -0.41779482E-02      0.47787046E-03
      0.49244096E-01      0.69999951E-04     -0.12053082E-07     -0.41796448E-02      0.48596240E-03
      0.49611589E-01      0.71163314E-04     -0.12188621E-07     -0.41807157E-02      0.49403885E-03
      0.49979083E-01      0.72322555E-04     -0.12324818E-07     -0.41811272E-02      0.50208667E-03
      0.50346576E-01      0.73475780E-04     -0.12461550E-07     -0.41808469E-02      0.51009273E-03
      0.50714069E-01      0.74621107E-04     -0.12598698E-07     -0.41798439E-02      0.51804397E-03
      0.51081562E-01      0.75756671E-04     -0.12736143E-07     -0.41780886E-02      0.52592742E-03
      0.51449056E-01      0.76880636E-04     -0.12873772E-07     -0.41755533E-02      0.53373035E-03
      0.51816549E-01      0.77991204E-04     -0.13011475E-07     -0.41722119E-02      0.54144027E-03
      0.52184042E-01      0.79086627E-04     -0.13149143E-07     -0.41680404E-02      0.54904506E-03
      0.52551535E-01      0.80165216E-04     -0.13286676E-07     -0.41630169E-02      0.55653297E-03
      0.52919029E-01      0.81225349E-04     -0.13423976E-07     -0.41571218E-02      0.56389276E-03
      0.53286522E-01      0.82265483E-04     -0.13560950E-07     -0.41503377E-02      0.57111370E-03
      0.53654015E-01      0.83284161E-04     -0.13697511E-07     -0.41426497E-02      0.57818570E-03
      0.54021508E-01      0.84280023E-04     -0.13833578E-07     -0.41340452E-02      0.58509930E-03
      0.54389002E-01      0.85251811E-04     -0.13969075E-07     -0.41245146E-02      0.59184576E-03
      0.54756495E-01      0.86198377E-04     -0.14103931E-07     -0.41140506E-02      0.59841714E-03
      0.55123988E-01      0.87118695E-04     -0.14238085E-07     -0.41026487E-02      0.60480628E-03
      0.55491481E-01      0.88011858E-04     -0.14371478E-07     -0.40903073E-02      0.61100691E-03
      0.55858975E-01      0.88877095E-04     -0.14504059E-07     -0.40770273E-02      0.61701366E-03
      0.56226468E-01      0.89713765E-04     -0.14635784E-07     -0.40628127E-02      0.62282210E-03
      0.56593961E-01      0.90521371E-04     -0.14766616E-07     -0.40476701E-02      0.62842876E-03
      0.56961454E-01      0.91299555E-04     -0.14896522E-07     -0.40316090E-02      0.63383117E-03
      0.57328948E-01      0.92048108E-04     -0.15025477E-07     -0.40146417E-02      0.63902787E-03
      0.57696441E-01      0.92766966E-04     -0.15153463E-07     -0.39967832E-02      0.64401841E-03
      0.58063934E-01      0.93456215E-04     -0.15280466E-07     -0.39780512E-02      0.64880340E-03
      0.58431427E-01      0.94116089E-04     -0.15406482E-07     -0.39584664E-02      0.65338446E-03
      0.58798921E-01      0.94746970E-04     -0.15531508E-07     -0.39380516E-02      0.65776424E-03
      0.59166414E-01      0.95349384E-04     -0.15655552E-07     -0.39168326E-02      0.66194640E-03
      0.59533907E-01      0.95924003E-04     -0.15778622E-07     -0.38948375E-02      0.66593559E-03
      0.59901400E-01      0.96471638E-04     -0.15900736E-07     -0.38720969E-02      0.66973745E-03
      0.60268894E-01      0.96993234E-04     -0.16021914E-07     -0.38486434E-02      0.67335854E-03
      0.60636387E-01      0.97489868E-04     -0.16142183E-07     -0.38245123E-02      0.67680633E-03
      0.61003880E-01      0.97962739E-04     -0.16261573E-07     -0.37997405E-02      0.68008916E-03
      0.61371373E-01      0.98413165E-04     -0.16380119E-07     -0.37743673E-02      0.68321616E-03
      0.61738867E-01      0.98842572E-04     -0.16497858E-07     -0.37484334E-02      0.68619724E-03
      0.62106360E-01      0.99252486E-04     -0.16614833E-07     -0.37219817E-02      0.68904300E-03
      0.62473853E-01      0.99644526E-04     -0.16731089E-07     -0.36950563E-02      0.69176467E-03
      0.62841346E-01      0.10002039E-03     -0.16846672E-07     -0.36677029E-02      0.69437405E-03
      0.63208840E-01      0.10038185E-03     -0.16961634E-07     -0.36399686E-02      0.69688342E-03
      0.63576333E-01      0.10073074E-03     -0.17076026E-07     -0.36119014E-02      0.69930550E-03
      0.63943826E-01      0.10106893E-03     -0.17189902E-07     -0.35835505E-02      0.70165332E-03
      0.64311319E-01      0.10139833E-03     -0.17303316E-07     -0.35549659E-02      0.70394017E-03
      0.64678813E-01      0.10172089E-03     -0.17416325E-07     -0.35261982E-02      0.70617949E-03
      0.65046306E-01      0.10203856E-03     -0.17528983E-07     -0.34972987E-02      0.70838481E-03
      0.65413799E-01      0.10235327E-03     -0.17641349E-07     -0.34683189E-02      0.71056962E-03
      0.65781292E-01      0.10266695E-03     -0.17753476E-07     -0.34393106E-02      0.71274733E-03
      0.66148786E-01      0.10298151E-03     -0.17865422E-07     -0.34103257E-02      0.71493112E-03
      0.66516279E-01      0.10329881E-03     -0.17977239E-07     -0.33814159E-02      0.71713388E-03
      0.66883772E-01      0.10362064E-03     -0.18088982E-07     -0.33526327E-02      0.71936813E-03
      0.67251265E-01      0.10394873E-03     -0.18200703E-07     -0.33240273E-02      0.72164588E-03
      0.67618759E-01      0.10428475E-03     -0.18312450E-07     -0.32956503E-02      0.72397860E-03
      0.67986252E-01      0.10463024E-03     -0.18424271E-07     -0.32675514E-02      0.72637709E-03
      0.68353745E-01      0.10498665E-03     -0.18536213E-07     -0.32397799E-02      0.72885140E-03
      0.68721238E-01      0.10535531E-03     -0.18648318E-07     -0.32123837E-02      0.73141076E-03
      0.69088732E-01      0.10573742E-03     -0.18760626E-07     -0.31854099E-02      0.73406350E-03
      0.69456225E-01      0.10613404E-03     -0.18873175E-07     -0.31589041E-02      0.73681697E-03
      0.69823718E-01      0.10654608E-03     -0.18985998E-07     -0.31329110E-02      0.73967747E-03
      0.70191212E-01      0.10697428E-03     -0.19099126E-07     -0.31074733E-02      0.74265020E-03
      0.70558705E-01      0.10741923E-03     -0.19212588E-07     -0.30826326E-02      0.74573918E-03
      0.70926198E-01      0.10788133E-03     -0.19326408E-07     -0.30584285E-02      0.74894721E-03
      0.71293691E-01      0.10836079E-03     -0.19440607E-07     -0.30348991E-02      0.75227582E-03
      0.71661185E-01      0.10885766E-03     -0.19555202E-07     -0.30120804E-02      0.75572523E-03
      0.72028678E-01      0.10937176E-03     -0.19670209E-07     -0.29900067E-02      0.75929432E-03
      0.72396171E-01      0.10990275E-03     -0.19785639E-07     -0.29687103E-02      0.76298062E-03
      0.72763664E-01      0.11045007E-03     -0.19901499E-07     -0.29482211E-02      0.76678026E-03
      0.73131158E-01      0.11101296E-03     -0.20017794E-07     -0.29285674E-02      0.77068800E-03
      0.73498651E-01      0.11159045E-03     -0.20134527E-07     -0.29097749E-02      0.77469719E-03
      0.73866144E-01      0.11218141E-03     -0.20251697E-07     -0.28918673E-02      0.77879981E-03
      0.74233637E-01      0.11278448E-03     -0.20369300E-07     -0.28748660E-02      0.78298647E-03
      0.74601131E-01      0.11339810E-03     -0.20487331E-07     -0.28587902E-02      0.78724645E-03
      0.74968624E-01      0.11402055E-03     -0.20605781E-07     -0.28436567E-02      0.79156770E-03
      0.75336117E-01      0.11464991E-03     -0.20724640E-07     -0.28294801E-02      0.79593693E-03
      0.75703610E-01      0.11528409E-03     -0.20843898E-07     -0.28162725E-02      0.80033960E-03
      0.76071104E-01      0.11592083E-03     -0.20963540E-07     -0.28040441E-02      0.80476003E-03
      0.76438597E-01      0.11655770E-03     -0.21083553E-07     -0.27928023E-02      0.80918145E-03
      0.76806090E-01      0.11719216E-03     -0.21203921E-07     -0.27825527E-02      0.81358606E-03
      0.77173583E-01      0.11782150E-03     -0.21324629E-07     -0.27732983E-02      0.81795512E-03
      0.77541077E-01      0.11844289E-03     -0.21445662E-07     -0.27650401E-02      0.82226905E-03
      0.77908570E-01      0.11905342E-03     -0.21567004E-07     -0.27577769E-02      0.82650749E-03
      0.78276063E-01      0.11965004E-03     -0.21688640E-07     -0.27515051E-02      0.83064943E-03
      0.78643556E-01      0.12022966E-03     -0.21810556E-07     -0.27462194E-02      0.83467333E-03
      0.79011050E-01      0.12078910E-03     -0.21932738E-07     -0.27419122E-02      0.83855718E-03
      0.79378543E-01      0.12132516E-03     -0.22055175E-07     -0.27385740E-02      0.84227865E-03
      0.79746036E-01      0.12183458E-03     -0.22177857E-07     -0.27361932E-02      0.84581523E-03
      0.80113529E-01      0.12231411E-03     -0.22300777E-07     -0.27347566E-02      0.84914431E-03
      0.80481023E-01      0.12276051E-03     -0.22423930E-07     -0.27342491E-02      0.85224332E-03
      0.80848516E-01      0.12317054E-03     -0.22547312E-07     -0.27346539E-02      0.85508989E-03
      0.81216009E-01      0.12354103E-03     -0.22670924E-07     -0.27359524E-02      0.85766193E-03
      0.81583502E-01      0.12386885E-03     -0.22794770E-07     -0.27381246E-02      0.85993780E-03
      0.81950996E-01      0.12415098E-03     -0.22918857E-07     -0.27411489E-02      0.86189642E-03
      0.82318489E-01      0.12438447E-03     -0.23043197E-07     -0.27450024E-02      0.86351742E-03
      0.82685982E-01      0.12456652E-03     -0.23167803E-07     -0.27496607E-02      0.86478125E-03
      0.83053475E-01      0.12469444E-03     -0.23292695E-07     -0.27550984E-02      0.86566929E-03
      0.83420969E-01      0.12476570E-03     -0.23417897E-07     -0.27612886E-02      0.86616404E-03
      0.83788462E-01      0.12477797E-03     -0.23543435E-07     -0.27682036E-02      0.86624917E-03
      0.84155955E-01      0.12472906E-03     -0.23669342E-07     -0.27758145E-02      0.86590966E-03
      0.84523448E-01      0.12461703E-03     -0.23795654E-07     -0.27840916E-02      0.86513192E-03
      0.84890942E-01      0.12444014E-03     -0.23922413E-07     -0.27930043E-02      0.86390391E-03
      0.85258435E-01      0.12419689E-03     -0.24049664E-07     -0.28025212E-02      0.86221518E-03
      0.85625928E-01      0.12388602E-03     -0.24177457E-07     -0.28126103E-02      0.86005702E-03
      0.85993421E-01      0.12350654E-03     -0.24305848E-07     -0.28232390E-02      0.85742253E-03
      0.86360915E-01      0.12305772E-03     -0.24434896E-07     -0.28343741E-02      0.85430666E-03
      0.86728408E-01      0.12253912E-03     -0.24564663E-07     -0.28459819E-02      0.85070635E-03
      0.87095901E-01      0.12195057E-03     -0.24695219E-07     -0.28580285E-02      0.84662050E-03
      0.87463394E-01      0.12129223E-03     -0.24826633E-07     -0.28704795E-02      0.84205007E-03
      0.87830888E-01      0.12056453E-03     -0.24958982E-07     -0.28833003E-02      0.83699814E-03
      0.88198381E-01      0.11976822E-03     -0.25092345E-07     -0.28964561E-02      0.83146986E-03
      0.88565874E-01      0.11890434E-03     -0.25226802E-07     -0.29099121E-02      0.82547255E-03
      0.88933367E-01      0.11797426E-03     -0.25362439E-07     -0.29236332E-02      0.81901564E-03
      0.89300861E-01      0.11697964E-03     -0.25499344E-07     -0.29375845E-02      0.81211069E-03
      0.89668354E-01      0.11592246E-03     -0.25637606E-07     -0.29517310E-02      0.80477140E-03
      0.90035847E-01      0.11480499E-03     -0.25777316E-07     -0.29660377E-02      0.79701353E-03
      0.90403340E-01      0.11362979E-03     -0.25918567E-07     -0.29804700E-02      0.78885489E-03
      0.90770834E-01      0.11239971E-03     -0.26061453E-07     -0.29949933E-02      0.78031529E-03
      0.91138327E-01      0.11111788E-03     -0.26206069E-07     -0.30095732E-02      0.77141645E-03
      0.91505820E-01      0.10978771E-03     -0.26352509E-07     -0.30241755E-02      0.76218196E-03
      0.91873313E-01      0.10841284E-03     -0.26500867E-07     -0.30387664E-02      0.75263717E-03
      0.92240807E-01      0.10699717E-03     -0.26651236E-07     -0.30533124E-02      0.74280912E-03
      0.92608300E-01      0.10554482E-03     -0.26803710E-07     -0.30677801E-02      0.73272639E-03
      0.92975793E-01      0.10406010E-03     -0.26958377E-07     -0.30821368E-02      0.72241904E-03
      0.93343287E-01      0.10254756E-03     -0.27115327E-07     -0.30963500E-02      0.71191844E-03
      0.93710780E-01      0.10101186E-03     -0.27274644E-07     -0.31103875E-02      0.70125715E-03
      0.94078273E-01      0.99457863E-04     -0.27436411E-07     -0.31242178E-02      0.69046879E-03
      0.94445766E-01      0.97890534E-04     -0.27600706E-07     -0.31378095E-02      0.67958789E-03
      0.94813260E-01      0.96314954E-04     -0.27767604E-07     -0.31511320E-02      0.66864970E-03
      0.95180753E-01      0.94736285E-04     -0.27937174E-07     -0.31641548E-02      0.65769007E-03
      0.95548246E-01      0.93159752E-04     -0.28109481E-07     -0.31768481E-02      0.64674526E-03
      0.95915739E-01      0.91590613E-04     -0.28284585E-07     -0.31891826E-02      0.63585179E-03
      0.96283233E-01      0.90034137E-04     -0.28462539E-07     -0.32011293E-02      0.62504623E-03
      0.96650726E-01      0.88495576E-04     -0.28643390E-07     -0.32126599E-02      0.61436504E-03
      0.97018219E-01      0.86980142E-04     -0.28827180E-07     -0.32237465E-02      0.60384440E-03
      0.97385712E-01      0.85492977E-04     -0.29013943E-07     -0.32343616E-02      0.59352002E-03
      0.97753206E-01      0.84039132E-04     -0.29203706E-07     -0.32444785E-02      0.58342696E-03
      0.98120699E-01      0.82623537E-04     -0.29396489E-07     -0.32540706E-02      0.57359943E-03
      0.98488192E-01      0.81250977E-04     -0.29592306E-07     -0.32631123E-02      0.56407068E-03
      0.98855685E-01      0.79926067E-04     -0.29791160E-07     -0.32715782E-02      0.55487272E-03
      0.99223179E-01      0.78653228E-04     -0.29993050E-07     -0.32794435E-02      0.54603626E-03
