# nspin         1
# kick mode    0
# kick strength    0.005000000000
# dim           3
# pol(1)           1.000000000000    0.000000000000    0.000000000000
# pol(2)           0.000000000000    1.000000000000    0.000000000000
# pol(3)           0.000000000000    0.000000000000    1.000000000000
# direction    1
# Equiv. axes  0
# wprime           0.000000000000    0.000000000000    1.000000000000
# kick time        0.000000000000
#%
# Number of time steps =    10000
# PropagationSpectrumDampMode   =    2
# PropagationSpectrumDampFactor =    -1.0000
# PropagationSpectrumStartTime  =     0.0000
# PropagationSpectrumEndTime    =   200.0000
# PropagationSpectrumMinEnergy  =     0.0000
# PropagationSpectrumMaxEnergy  =     0.7350
# PropagationSpectrumEnergyStep =     0.0004
#%
# Electronic sum rule       =         3.022711
# Static polarizability (from sum rule) =        11.025296 b
#%
#       Energy        sigma(1, nspin=1)   sigma(2, nspin=1)   sigma(3, nspin=1)   StrengthFunction(1)
#        [H]                [b^2]               [b^2]               [b^2]               [1/H]        
      0.44099190E-02      0.17919454E-04     -0.10928044E-13     -0.24265176E-13      0.12440267E-03
      0.47774123E-02      0.20930290E-04     -0.12755016E-13     -0.28338777E-13      0.14530487E-03
      0.51449056E-02      0.24149319E-04     -0.14705275E-13     -0.32693011E-13      0.16765242E-03
      0.55123988E-02      0.27569293E-04     -0.16773768E-13     -0.37317890E-13      0.19139499E-03
      0.58798921E-02      0.31182533E-04     -0.18955149E-13     -0.42202852E-13      0.21647927E-03
      0.62473853E-02      0.34980947E-04     -0.21243795E-13     -0.47336792E-13      0.24284910E-03
      0.66148786E-02      0.38956058E-04     -0.23633826E-13     -0.52708099E-13      0.27044561E-03
      0.69823718E-02      0.43099026E-04     -0.26119117E-13     -0.58304689E-13      0.29920744E-03
      0.73498651E-02      0.47400669E-04     -0.28693324E-13     -0.64114048E-13      0.32907084E-03
      0.77173583E-02      0.51851493E-04     -0.31349898E-13     -0.70123262E-13      0.35996991E-03
      0.80848516E-02      0.56441717E-04     -0.34082109E-13     -0.76319067E-13      0.39183673E-03
      0.84523448E-02      0.61161297E-04     -0.36883063E-13     -0.82687882E-13      0.42460159E-03
      0.88198381E-02      0.65999956E-04     -0.39745725E-13     -0.89215851E-13      0.45819314E-03
      0.91873313E-02      0.70947214E-04     -0.42662938E-13     -0.95888890E-13      0.49253861E-03
      0.95548246E-02      0.75992412E-04     -0.45627450E-13     -0.10269272E-12      0.52756401E-03
      0.99223179E-02      0.81124743E-04     -0.48631929E-13     -0.10961293E-12      0.56319432E-03
      0.10289811E-01      0.86333283E-04     -0.51668988E-13     -0.11663499E-12      0.59935369E-03
      0.10657304E-01      0.91607015E-04     -0.54731210E-13     -0.12374430E-12      0.63596566E-03
      0.11024798E-01      0.96934865E-04     -0.57811164E-13     -0.13092627E-12      0.67295332E-03
      0.11392291E-01      0.10230573E-03     -0.60901431E-13     -0.13816632E-12      0.71023959E-03
      0.11759784E-01      0.10770849E-03     -0.63994626E-13     -0.14544992E-12      0.74774733E-03
      0.12127277E-01      0.11313208E-03     -0.67083416E-13     -0.15276266E-12      0.78539963E-03
      0.12494771E-01      0.11856546E-03     -0.70160546E-13     -0.16009028E-12      0.82311995E-03
      0.12862264E-01      0.12399770E-03     -0.73218857E-13     -0.16741870E-12      0.86083234E-03
      0.13229757E-01      0.12941798E-03     -0.76251306E-13     -0.17473404E-12      0.89846163E-03
      0.13597250E-01      0.13481559E-03     -0.79250990E-13     -0.18202273E-12      0.93593362E-03
      0.13964744E-01      0.14018003E-03     -0.82211160E-13     -0.18927143E-12      0.97317527E-03
      0.14332237E-01      0.14550095E-03     -0.85125244E-13     -0.19646719E-12      0.10101149E-02
      0.14699730E-01      0.15076827E-03     -0.87986864E-13     -0.20359739E-12      0.10466823E-02
      0.15067223E-01      0.15597209E-03     -0.90789853E-13     -0.21064980E-12      0.10828090E-02
      0.15434717E-01      0.16110284E-03     -0.93528272E-13     -0.21761262E-12      0.11184282E-02
      0.15802210E-01      0.16615119E-03     -0.96196427E-13     -0.22447449E-12      0.11534755E-02
      0.16169703E-01      0.17110815E-03     -0.98788882E-13     -0.23122454E-12      0.11878883E-02
      0.16537196E-01      0.17596504E-03     -0.10130047E-12     -0.23785238E-12      0.12216064E-02
      0.16904690E-01      0.18071355E-03     -0.10372632E-12     -0.24434814E-12      0.12545721E-02
      0.17272183E-01      0.18534573E-03     -0.10606186E-12     -0.25070249E-12      0.12867302E-02
      0.17639676E-01      0.18985401E-03     -0.10830280E-12     -0.25690664E-12      0.13180282E-02
      0.18007169E-01      0.19423124E-03     -0.11044521E-12     -0.26295239E-12      0.13484164E-02
      0.18374663E-01      0.19847067E-03     -0.11248546E-12     -0.26883211E-12      0.13778479E-02
      0.18742156E-01      0.20256598E-03     -0.11442026E-12     -0.27453874E-12      0.14062788E-02
      0.19109649E-01      0.20651130E-03     -0.11624668E-12     -0.28006584E-12      0.14336686E-02
      0.19477142E-01      0.21030121E-03     -0.11796212E-12     -0.28540756E-12      0.14599793E-02
      0.19844636E-01      0.21393074E-03     -0.11956433E-12     -0.29055866E-12      0.14851767E-02
      0.20212129E-01      0.21739539E-03     -0.12105143E-12     -0.29551450E-12      0.15092294E-02
      0.20579622E-01      0.22069114E-03     -0.12242189E-12     -0.30027104E-12      0.15321096E-02
      0.20947115E-01      0.22381445E-03     -0.12367454E-12     -0.30482484E-12      0.15537926E-02
      0.21314609E-01      0.22676225E-03     -0.12480858E-12     -0.30917307E-12      0.15742572E-02
      0.21682102E-01      0.22953196E-03     -0.12582354E-12     -0.31331347E-12      0.15934854E-02
      0.22049595E-01      0.23212147E-03     -0.12671932E-12     -0.31724435E-12      0.16114627E-02
      0.22417088E-01      0.23452918E-03     -0.12749619E-12     -0.32096459E-12      0.16281778E-02
      0.22784582E-01      0.23675395E-03     -0.12815474E-12     -0.32447362E-12      0.16436228E-02
      0.23152075E-01      0.23879511E-03     -0.12869589E-12     -0.32777139E-12      0.16577932E-02
      0.23519568E-01      0.24065247E-03     -0.12912094E-12     -0.33085839E-12      0.16706876E-02
      0.23887062E-01      0.24232630E-03     -0.12943147E-12     -0.33373557E-12      0.16823079E-02
      0.24254555E-01      0.24381732E-03     -0.12962940E-12     -0.33640438E-12      0.16926591E-02
      0.24622048E-01      0.24512672E-03     -0.12971696E-12     -0.33886672E-12      0.17017494E-02
      0.24989541E-01      0.24625611E-03     -0.12969665E-12     -0.34112491E-12      0.17095899E-02
      0.25357035E-01      0.24720751E-03     -0.12957129E-12     -0.34318167E-12      0.17161948E-02
      0.25724528E-01      0.24798337E-03     -0.12934396E-12     -0.34504010E-12      0.17215811E-02
      0.26092021E-01      0.24858655E-03     -0.12901798E-12     -0.34670366E-12      0.17257686E-02
      0.26459514E-01      0.24902028E-03     -0.12859696E-12     -0.34817612E-12      0.17287797E-02
      0.26827008E-01      0.24928815E-03     -0.12808469E-12     -0.34946155E-12      0.17306393E-02
      0.27194501E-01      0.24939413E-03     -0.12748523E-12     -0.35056428E-12      0.17313751E-02
      0.27561994E-01      0.24934250E-03     -0.12680280E-12     -0.35148889E-12      0.17310166E-02
      0.27929487E-01      0.24913788E-03     -0.12604183E-12     -0.35224014E-12      0.17295961E-02
      0.28296981E-01      0.24878518E-03     -0.12520691E-12     -0.35282299E-12      0.17271476E-02
      0.28664474E-01      0.24828959E-03     -0.12430279E-12     -0.35324253E-12      0.17237070E-02
      0.29031967E-01      0.24765657E-03     -0.12333435E-12     -0.35350399E-12      0.17193124E-02
      0.29399460E-01      0.24689182E-03     -0.12230659E-12     -0.35361265E-12      0.17140032E-02
      0.29766954E-01      0.24600125E-03     -0.12122462E-12     -0.35357389E-12      0.17078206E-02
      0.30134447E-01      0.24499098E-03     -0.12009363E-12     -0.35339308E-12      0.17008070E-02
      0.30501940E-01      0.24386733E-03     -0.11891887E-12     -0.35307562E-12      0.16930062E-02
      0.30869433E-01      0.24263674E-03     -0.11770566E-12     -0.35262688E-12      0.16844631E-02
      0.31236927E-01      0.24130583E-03     -0.11645932E-12     -0.35205215E-12      0.16752234E-02
      0.31604420E-01      0.23988130E-03     -0.11518522E-12     -0.35135668E-12      0.16653339E-02
      0.31971913E-01      0.23836997E-03     -0.11388871E-12     -0.35054560E-12      0.16548418E-02
      0.32339406E-01      0.23677874E-03     -0.11257512E-12     -0.34962391E-12      0.16437949E-02
      0.32706900E-01      0.23511455E-03     -0.11124975E-12     -0.34859648E-12      0.16322416E-02
      0.33074393E-01      0.23338437E-03     -0.10991786E-12     -0.34746800E-12      0.16202301E-02
      0.33441886E-01      0.23159521E-03     -0.10858462E-12     -0.34624297E-12      0.16078092E-02
      0.33809379E-01      0.22975404E-03     -0.10725513E-12     -0.34492570E-12      0.15950272E-02
      0.34176873E-01      0.22786784E-03     -0.10593440E-12     -0.34352027E-12      0.15819326E-02
      0.34544366E-01      0.22594352E-03     -0.10462732E-12     -0.34203052E-12      0.15685733E-02
      0.34911859E-01      0.22398795E-03     -0.10333865E-12     -0.34046006E-12      0.15549971E-02
      0.35279352E-01      0.22200789E-03     -0.10207304E-12     -0.33881222E-12      0.15412509E-02
      0.35646846E-01      0.22001003E-03     -0.10083495E-12     -0.33709009E-12      0.15273811E-02
      0.36014339E-01      0.21800094E-03     -0.99628715E-13     -0.33529646E-12      0.15134333E-02
      0.36381832E-01      0.21598705E-03     -0.98458470E-13     -0.33343386E-12      0.14994523E-02
      0.36749325E-01      0.21397466E-03     -0.97328182E-13     -0.33150451E-12      0.14854816E-02
      0.37116819E-01      0.21196991E-03     -0.96241621E-13     -0.32951036E-12      0.14715640E-02
      0.37484312E-01      0.20997876E-03     -0.95202359E-13     -0.32745308E-12      0.14577408E-02
      0.37851805E-01      0.20800699E-03     -0.94213756E-13     -0.32533405E-12      0.14440521E-02
      0.38219298E-01      0.20606018E-03     -0.93278960E-13     -0.32315434E-12      0.14305367E-02
      0.38586792E-01      0.20414371E-03     -0.92400894E-13     -0.32091479E-12      0.14172320E-02
      0.38954285E-01      0.20226276E-03     -0.91582256E-13     -0.31861593E-12      0.14041738E-02
      0.39321778E-01      0.20042224E-03     -0.90825511E-13     -0.31625805E-12      0.13913963E-02
      0.39689271E-01      0.19862688E-03     -0.90132889E-13     -0.31384118E-12      0.13789324E-02
      0.40056765E-01      0.19688114E-03     -0.89506383E-13     -0.31136510E-12      0.13668129E-02
      0.40424258E-01      0.19518924E-03     -0.88947745E-13     -0.30882937E-12      0.13550671E-02
      0.40791751E-01      0.19355516E-03     -0.88458487E-13     -0.30623335E-12      0.13437228E-02
      0.41159244E-01      0.19198261E-03     -0.88039880E-13     -0.30357616E-12      0.13328056E-02
      0.41526738E-01      0.19047505E-03     -0.87692952E-13     -0.30085678E-12      0.13223396E-02
      0.41894231E-01      0.18903568E-03     -0.87418495E-13     -0.29807400E-12      0.13123471E-02
      0.42261724E-01      0.18766746E-03     -0.87217062E-13     -0.29522646E-12      0.13028485E-02
      0.42629217E-01      0.18637306E-03     -0.87088972E-13     -0.29231269E-12      0.12938623E-02
      0.42996711E-01      0.18515491E-03     -0.87034313E-13     -0.28933110E-12      0.12854055E-02
      0.43364204E-01      0.18401517E-03     -0.87052947E-13     -0.28628002E-12      0.12774931E-02
      0.43731697E-01      0.18295576E-03     -0.87144515E-13     -0.28315771E-12      0.12701383E-02
      0.44099190E-01      0.18197834E-03     -0.87308443E-13     -0.27996239E-12      0.12633527E-02
      0.44466684E-01      0.18108431E-03     -0.87543946E-13     -0.27669226E-12      0.12571461E-02
      0.44834177E-01      0.18027485E-03     -0.87850037E-13     -0.27334552E-12      0.12515265E-02
      0.45201670E-01      0.17955088E-03     -0.88225535E-13     -0.26992040E-12      0.12465006E-02
      0.45569163E-01      0.17891312E-03     -0.88669071E-13     -0.26641518E-12      0.12420730E-02
      0.45936657E-01      0.17836203E-03     -0.89179097E-13     -0.26282818E-12      0.12382472E-02
      0.46304150E-01      0.17789788E-03     -0.89753895E-13     -0.25915786E-12      0.12350249E-02
      0.46671643E-01      0.17752072E-03     -0.90391587E-13     -0.25540276E-12      0.12324065E-02
      0.47039137E-01      0.17723040E-03     -0.91090143E-13     -0.25156157E-12      0.12303910E-02
      0.47406630E-01      0.17702659E-03     -0.91847392E-13     -0.24763313E-12      0.12289761E-02
      0.47774123E-01      0.17690875E-03     -0.92661030E-13     -0.24361645E-12      0.12281580E-02
      0.48141616E-01      0.17687621E-03     -0.93528635E-13     -0.23951077E-12      0.12279321E-02
      0.48509110E-01      0.17692810E-03     -0.94447673E-13     -0.23531551E-12      0.12282924E-02
      0.48876603E-01      0.17706343E-03     -0.95415510E-13     -0.23103032E-12      0.12292319E-02
      0.49244096E-01      0.17728105E-03     -0.96429424E-13     -0.22665514E-12      0.12307426E-02
      0.49611589E-01      0.17757968E-03     -0.97486612E-13     -0.22219013E-12      0.12328158E-02
      0.49979083E-01      0.17795794E-03     -0.98584208E-13     -0.21763576E-12      0.12354418E-02
      0.50346576E-01      0.17841432E-03     -0.99719287E-13     -0.21299278E-12      0.12386102E-02
      0.50714069E-01      0.17894722E-03     -0.10088888E-12     -0.20826223E-12      0.12423098E-02
      0.51081562E-01      0.17955498E-03     -0.10208997E-12     -0.20344548E-12      0.12465290E-02
      0.51449056E-01      0.18023581E-03     -0.10331954E-12     -0.19854424E-12      0.12512556E-02
      0.51816549E-01      0.18098792E-03     -0.10457454E-12     -0.19356050E-12      0.12564769E-02
      0.52184042E-01      0.18180942E-03     -0.10585192E-12     -0.18849664E-12      0.12621800E-02
      0.52551535E-01      0.18269839E-03     -0.10714864E-12     -0.18335535E-12      0.12683516E-02
      0.52919029E-01      0.18365289E-03     -0.10846166E-12     -0.17813965E-12      0.12749780E-02
      0.53286522E-01      0.18467094E-03     -0.10978799E-12     -0.17285293E-12      0.12820456E-02
      0.53654015E-01      0.18575055E-03     -0.11112465E-12     -0.16749890E-12      0.12895407E-02
      0.54021508E-01      0.18688974E-03     -0.11246871E-12     -0.16208164E-12      0.12974493E-02
      0.54389002E-01      0.18808651E-03     -0.11381730E-12     -0.15660551E-12      0.13057577E-02
      0.54756495E-01      0.18933890E-03     -0.11516758E-12     -0.15107526E-12      0.13144521E-02
      0.55123988E-01      0.19064494E-03     -0.11651682E-12     -0.14549591E-12      0.13235191E-02
      0.55491481E-01      0.19200271E-03     -0.11786231E-12     -0.13987283E-12      0.13329452E-02
      0.55858975E-01      0.19341032E-03     -0.11920147E-12     -0.13421167E-12      0.13427173E-02
      0.56226468E-01      0.19486591E-03     -0.12053176E-12     -0.12851837E-12      0.13528224E-02
      0.56593961E-01      0.19636767E-03     -0.12185076E-12     -0.12279916E-12      0.13632481E-02
      0.56961454E-01      0.19791385E-03     -0.12315614E-12     -0.11706052E-12      0.13739822E-02
      0.57328948E-01      0.19950273E-03     -0.12444565E-12     -0.11130917E-12      0.13850128E-02
      0.57696441E-01      0.20113269E-03     -0.12571717E-12     -0.10555207E-12      0.13963285E-02
      0.58063934E-01      0.20280213E-03     -0.12696868E-12     -0.99796378E-13      0.14079183E-02
      0.58431427E-01      0.20450954E-03     -0.12819827E-12     -0.94049440E-13      0.14197716E-02
      0.58798921E-01      0.20625346E-03     -0.12940412E-12     -0.88318773E-13      0.14318785E-02
      0.59166414E-01      0.20803250E-03     -0.13058458E-12     -0.82612037E-13      0.14442292E-02
      0.59533907E-01      0.20984535E-03     -0.13173805E-12     -0.76937012E-13      0.14568146E-02
      0.59901400E-01      0.21169075E-03     -0.13286310E-12     -0.71301580E-13      0.14696259E-02
      0.60268894E-01      0.21356751E-03     -0.13395840E-12     -0.65713693E-13      0.14826550E-02
      0.60636387E-01      0.21547452E-03     -0.13502274E-12     -0.60181353E-13      0.14958941E-02
      0.61003880E-01      0.21741071E-03     -0.13605502E-12     -0.54712587E-13      0.15093358E-02
      0.61371373E-01      0.21937509E-03     -0.13705427E-12     -0.49315417E-13      0.15229731E-02
      0.61738867E-01      0.22136671E-03     -0.13801963E-12     -0.43997839E-13      0.15367996E-02
      0.62106360E-01      0.22338469E-03     -0.13895036E-12     -0.38767792E-13      0.15508091E-02
      0.62473853E-01      0.22542819E-03     -0.13984583E-12     -0.33633135E-13      0.15649957E-02
      0.62841346E-01      0.22749640E-03     -0.14070552E-12     -0.28601621E-13      0.15793539E-02
      0.63208840E-01      0.22958858E-03     -0.14152902E-12     -0.23680869E-13      0.15938785E-02
      0.63576333E-01      0.23170401E-03     -0.14231603E-12     -0.18878339E-13      0.16085645E-02
      0.63943826E-01      0.23384198E-03     -0.14306635E-12     -0.14201308E-13      0.16234070E-02
      0.64311319E-01      0.23600183E-03     -0.14377988E-12     -0.96568410E-14      0.16384014E-02
      0.64678813E-01      0.23818290E-03     -0.14445660E-12     -0.52517735E-14      0.16535431E-02
      0.65046306E-01      0.24038454E-03     -0.14509660E-12     -0.99268217E-15      0.16688276E-02
      0.65413799E-01      0.24260611E-03     -0.14570006E-12      0.31141353E-14      0.16842504E-02
      0.65781292E-01      0.24484695E-03     -0.14626723E-12      0.70626828E-14      0.16998070E-02
      0.66148786E-01      0.24710638E-03     -0.14679843E-12      0.10847286E-13      0.17154928E-02
      0.66516279E-01      0.24938373E-03     -0.14729408E-12      0.14462613E-13      0.17313029E-02
      0.66883772E-01      0.25167828E-03     -0.14775465E-12      0.17903693E-13      0.17472324E-02
      0.67251265E-01      0.25398928E-03     -0.14818067E-12      0.21165933E-13      0.17632761E-02
      0.67618759E-01      0.25631592E-03     -0.14857275E-12      0.24245134E-13      0.17794284E-02
      0.67986252E-01      0.25865737E-03     -0.14893155E-12      0.27137506E-13      0.17956835E-02
      0.68353745E-01      0.26101273E-03     -0.14925775E-12      0.29839682E-13      0.18120351E-02
      0.68721238E-01      0.26338101E-03     -0.14955211E-12      0.32348729E-13      0.18284765E-02
      0.69088732E-01      0.26576119E-03     -0.14981541E-12      0.34662160E-13      0.18450005E-02
      0.69456225E-01      0.26815215E-03     -0.15004848E-12      0.36777941E-13      0.18615993E-02
      0.69823718E-01      0.27055269E-03     -0.15025216E-12      0.38694497E-13      0.18782646E-02
      0.70191212E-01      0.27296151E-03     -0.15042734E-12      0.40410723E-13      0.18949875E-02
      0.70558705E-01      0.27537724E-03     -0.15057491E-12      0.41925981E-13      0.19117583E-02
      0.70926198E-01      0.27779840E-03     -0.15069579E-12      0.43240110E-13      0.19285667E-02
      0.71293691E-01      0.28022338E-03     -0.15079090E-12      0.44353418E-13      0.19454017E-02
      0.71661185E-01      0.28265051E-03     -0.15086119E-12      0.45266688E-13      0.19622516E-02
      0.72028678E-01      0.28507797E-03     -0.15090758E-12      0.45981173E-13      0.19791039E-02
      0.72396171E-01      0.28750385E-03     -0.15093103E-12      0.46498592E-13      0.19959451E-02
      0.72763664E-01      0.28992611E-03     -0.15093246E-12      0.46821122E-13      0.20127612E-02
      0.73131158E-01      0.29234261E-03     -0.15091283E-12      0.46951394E-13      0.20295373E-02
      0.73498651E-01      0.29475107E-03     -0.15087304E-12      0.46892481E-13      0.20462577E-02
      0.73866144E-01      0.29714912E-03     -0.15081401E-12      0.46647890E-13      0.20629057E-02
      0.74233637E-01      0.29953425E-03     -0.15073663E-12      0.46221547E-13      0.20794641E-02
      0.74601131E-01      0.30190385E-03     -0.15064179E-12      0.45617787E-13      0.20959146E-02
      0.74968624E-01      0.30425520E-03     -0.15053034E-12      0.44841336E-13      0.21122384E-02
      0.75336117E-01      0.30658546E-03     -0.15040313E-12      0.43897297E-13      0.21284159E-02
      0.75703610E-01      0.30889170E-03     -0.15026097E-12      0.42791131E-13      0.21444265E-02
      0.76071104E-01      0.31117086E-03     -0.15010465E-12      0.41528640E-13      0.21602492E-02
      0.76438597E-01      0.31341982E-03     -0.14993494E-12      0.40115946E-13      0.21758622E-02
      0.76806090E-01      0.31563536E-03     -0.14975257E-12      0.38559474E-13      0.21912432E-02
      0.77173583E-01      0.31781416E-03     -0.14955826E-12      0.36865923E-13      0.22063692E-02
      0.77541077E-01      0.31995285E-03     -0.14935269E-12      0.35042251E-13      0.22212166E-02
      0.77908570E-01      0.32204799E-03     -0.14913651E-12      0.33095648E-13      0.22357617E-02
      0.78276063E-01      0.32409605E-03     -0.14891035E-12      0.31033515E-13      0.22499801E-02
      0.78643556E-01      0.32609351E-03     -0.14867480E-12      0.28863436E-13      0.22638471E-02
      0.79011050E-01      0.32803676E-03     -0.14843043E-12      0.26593156E-13      0.22773378E-02
      0.79378543E-01      0.32992220E-03     -0.14817778E-12      0.24230554E-13      0.22904271E-02
      0.79746036E-01      0.33174619E-03     -0.14791736E-12      0.21783619E-13      0.23030898E-02
      0.80113529E-01      0.33350509E-03     -0.14764965E-12      0.19260425E-13      0.23153007E-02
      0.80481023E-01      0.33519530E-03     -0.14737511E-12      0.16669102E-13      0.23270347E-02
      0.80848516E-01      0.33681320E-03     -0.14709417E-12      0.14017815E-13      0.23382667E-02
      0.81216009E-01      0.33835523E-03     -0.14680725E-12      0.11314734E-13      0.23489719E-02
      0.81583502E-01      0.33981787E-03     -0.14651472E-12      0.85680112E-14      0.23591261E-02
      0.81950996E-01      0.34119768E-03     -0.14621694E-12      0.57857569E-14      0.23687051E-02
      0.82318489E-01      0.34249126E-03     -0.14591426E-12      0.29760122E-14      0.23776856E-02
      0.82685982E-01      0.34369533E-03     -0.14560700E-12      0.14672677E-15      0.23860446E-02
      0.83053475E-01      0.34480671E-03     -0.14529547E-12     -0.26942650E-14      0.23937602E-02
      0.83420969E-01      0.34582234E-03     -0.14497995E-12     -0.55392669E-14      0.24008111E-02
      0.83788462E-01      0.34673929E-03     -0.14466072E-12     -0.83807429E-14      0.24071768E-02
      0.84155955E-01      0.34755478E-03     -0.14433804E-12     -0.11211338E-13      0.24128382E-02
      0.84523448E-01      0.34826618E-03     -0.14401215E-12     -0.14023900E-13      0.24177770E-02
      0.84890942E-01      0.34887106E-03     -0.14368331E-12     -0.16811497E-13      0.24219762E-02
      0.85258435E-01      0.34936715E-03     -0.14335173E-12     -0.19567436E-13      0.24254202E-02
      0.85625928E-01      0.34975240E-03     -0.14301765E-12     -0.22285280E-13      0.24280948E-02
      0.85993421E-01      0.35002497E-03     -0.14268128E-12     -0.24958868E-13      0.24299870E-02
      0.86360915E-01      0.35018325E-03     -0.14234284E-12     -0.27582322E-13      0.24310858E-02
      0.86728408E-01      0.35022585E-03     -0.14200254E-12     -0.30150067E-13      0.24313816E-02
      0.87095901E-01      0.35015166E-03     -0.14166059E-12     -0.32656843E-13      0.24308666E-02
      0.87463394E-01      0.34995981E-03     -0.14131720E-12     -0.35097712E-13      0.24295347E-02
      0.87830888E-01      0.34964969E-03     -0.14097259E-12     -0.37468071E-13      0.24273817E-02
      0.88198381E-01      0.34922098E-03     -0.14062695E-12     -0.39763659E-13      0.24244055E-02
      0.88565874E-01      0.34867365E-03     -0.14028052E-12     -0.41980564E-13      0.24206057E-02
      0.88933367E-01      0.34800795E-03     -0.13993351E-12     -0.44115230E-13      0.24159842E-02
      0.89300861E-01      0.34722443E-03     -0.13958614E-12     -0.46164459E-13      0.24105448E-02
      0.89668354E-01      0.34632395E-03     -0.13923865E-12     -0.48125416E-13      0.24042933E-02
      0.90035847E-01      0.34530766E-03     -0.13889126E-12     -0.49995626E-13      0.23972379E-02
      0.90403340E-01      0.34417704E-03     -0.13854422E-12     -0.51772980E-13      0.23893888E-02
      0.90770834E-01      0.34293387E-03     -0.13819778E-12     -0.53455730E-13      0.23807583E-02
      0.91138327E-01      0.34158024E-03     -0.13785218E-12     -0.55042487E-13      0.23713610E-02
      0.91505820E-01      0.34011856E-03     -0.13750768E-12     -0.56532217E-13      0.23612135E-02
      0.91873313E-01      0.33855153E-03     -0.13716455E-12     -0.57924236E-13      0.23503347E-02
      0.92240807E-01      0.33688218E-03     -0.13682306E-12     -0.59218202E-13      0.23387456E-02
      0.92608300E-01      0.33511383E-03     -0.13648349E-12     -0.60414111E-13      0.23264690E-02
      0.92975793E-01      0.33325008E-03     -0.13614611E-12     -0.61512286E-13      0.23135303E-02
      0.93343287E-01      0.33129485E-03     -0.13581122E-12     -0.62513365E-13      0.22999564E-02
      0.93710780E-01      0.32925231E-03     -0.13547909E-12     -0.63418295E-13      0.22857765E-02
      0.94078273E-01      0.32712693E-03     -0.13515004E-12     -0.64228315E-13      0.22710214E-02
      0.94445766E-01      0.32492343E-03     -0.13482434E-12     -0.64944948E-13      0.22557240E-02
      0.94813260E-01      0.32264678E-03     -0.13450231E-12     -0.65569985E-13      0.22399187E-02
      0.95180753E-01      0.32030218E-03     -0.13418423E-12     -0.66105470E-13      0.22236417E-02
      0.95548246E-01      0.31789506E-03     -0.13387041E-12     -0.66553687E-13      0.22069307E-02
      0.95915739E-01      0.31543106E-03     -0.13356115E-12     -0.66917142E-13      0.21898249E-02
      0.96283233E-01      0.31291602E-03     -0.13325674E-12     -0.67198551E-13      0.21723647E-02
      0.96650726E-01      0.31035595E-03     -0.13295747E-12     -0.67400818E-13      0.21545918E-02
      0.97018219E-01      0.30775701E-03     -0.13266363E-12     -0.67527023E-13      0.21365491E-02
      0.97385712E-01      0.30512551E-03     -0.13237550E-12     -0.67580400E-13      0.21182804E-02
      0.97753206E-01      0.30246789E-03     -0.13209335E-12     -0.67564324E-13      0.20998303E-02
      0.98120699E-01      0.29979066E-03     -0.13181746E-12     -0.67482290E-13      0.20812442E-02
      0.98488192E-01      0.29710046E-03     -0.13154808E-12     -0.67337895E-13      0.20625679E-02
      0.98855685E-01      0.29440393E-03     -0.13128545E-12     -0.67134826E-13      0.20438477E-02
      0.99223179E-01      0.29170779E-03     -0.13102982E-12     -0.66876833E-13      0.20251302E-02
      0.99590672E-01      0.28901876E-03     -0.13078140E-12     -0.66567718E-13      0.20064621E-02
